TOP_X_SENSOR,TOP_Y_DEMO,n_sensor_union,n_demo_union,n_features,epochs,best_val_loss,sis_decay,ohs_decay,val_overall_n,val_overall_MAE,val_overall_RMSE,val_overall_R2,val_overall_Pearson,val_SIS_n,val_SIS_MAE,val_SIS_RMSE,val_SIS_R2,val_SIS_Pearson,val_OHS_n,val_OHS_MAE,val_OHS_RMSE,val_OHS_R2,val_OHS_Pearson,test_overall_n,test_overall_MAE,test_overall_RMSE,test_overall_R2,test_overall_Pearson,test_SIS_n,test_SIS_MAE,test_SIS_RMSE,test_SIS_R2,test_SIS_Pearson,test_OHS_n,test_OHS_MAE,test_OHS_RMSE,test_OHS_R2,test_OHS_Pearson
6,2,10,2,12,64,1.0098706483840942,0.073940172791481,0.0742679163813591,216.0,0.9489211489756902,1.106288331061445,0.3492015118984337,0.6199848221957768,72.0,0.8581326736344231,0.9469214165361196,-0.7960920852346574,0.3402387969850515,144.0,0.9943153866463236,1.177913716117055,-0.0040061510392128,0.1924395638030542,216.0,1.166921067017096,1.3928111160603036,0.0332606475858849,0.4371966603321217,72.0,0.788752579026752,0.9985093015544722,0.0012452254478249,0.2361274329690528,144.0,1.356005311012268,1.5528598761273738,-1.0806527551083054,-0.420366033048022
6,3,10,4,14,64,1.1819829940795898,0.0732426196336746,0.0794291421771049,216.0,1.0084070695771112,1.1700362173543408,0.2720383805298908,0.6160722568505993,72.0,1.0369323558277554,1.1859330112510196,-1.8172217788233147,0.1714963251138299,144.0,0.994144426451789,1.1620062699029752,0.0229284710235632,0.2827781257904951,216.0,1.1341379516654544,1.3599953214657443,0.0782783731047616,0.3988529079345346,72.0,0.9371749775277244,1.1696853217153858,-0.3705431670570105,0.0698228287527432,144.0,1.2326194387343197,1.4457866494385874,-0.8036135487753227,-0.4749575862772472
6,4,10,5,15,63,1.057786464691162,0.0748761370778083,0.0758820995688438,216.0,0.9512631595134736,1.1077976749175755,0.3474244909377842,0.6209971882474671,72.0,0.9440464013152652,1.05450002799236,-1.227377929691671,0.1156127735597186,144.0,0.9548715386125776,1.133507114362868,0.0702677061466435,0.2826199568070353,216.0,1.193827412746571,1.4026787798391367,0.0195139867011309,0.3640366310754842,72.0,0.9688878473308352,1.1615321687068505,-0.3515033389042141,0.0342976958575938,144.0,1.3062971954544385,1.5088681684117051,-0.9644349946347122,-0.45225234322153
6,5,10,6,16,62,1.083841323852539,0.0753993093967437,0.0798282176256179,216.0,0.9737462285492156,1.1357277394439078,0.3141038915736225,0.5924587274789508,72.0,0.9374034934573704,1.0758632930196514,-1.318541646902854,0.1633895118814164,144.0,0.991917596095138,1.1645064768304247,0.0187193558818027,0.1868195582191195,216.0,1.1930540121263928,1.385179625108754,0.0438255414043636,0.4043105319150815,72.0,0.97441432873408,1.155389864452872,-0.3372473488610874,0.0540455341107526,144.0,1.302373853822549,1.486815732121647,-0.9074333179657924,-0.3839324128027134
6,6,10,7,17,64,1.1713950634002686,0.075184978544712,0.0785064920783042,216.0,1.032664250444483,1.166073600764147,0.2769608743586654,0.5806386041705867,72.0,1.015989621480306,1.0999721620244391,-1.4236176651753016,0.1885059550915636,144.0,1.0410015649265714,1.1977571060044834,-0.038118493656934,0.1091920065380579,216.0,1.119889866974619,1.332746066761524,0.1148441009899537,0.4544664599036485,72.0,0.8389047781626383,1.008645701100649,-0.0191354827842098,0.251567063889719,144.0,1.2603824113806088,1.4682081060013454,-0.8599886918218131,-0.3760383081126686
6,7,10,7,17,64,1.1713950634002686,0.075184978544712,0.0785064920783042,216.0,1.032664250444483,1.166073600764147,0.2769608743586654,0.5806386041705867,72.0,1.015989621480306,1.0999721620244391,-1.4236176651753016,0.1885059550915636,144.0,1.0410015649265714,1.1977571060044834,-0.038118493656934,0.1091920065380579,216.0,1.119889866974619,1.332746066761524,0.1148441009899537,0.4544664599036485,72.0,0.8389047781626383,1.008645701100649,-0.0191354827842098,0.251567063889719,144.0,1.2603824113806088,1.4682081060013454,-0.8599886918218131,-0.3760383081126686
7,0,11,0,11,76,0.9500960111618042,0.0760723501443862,0.0733480304479599,216.0,0.9469234032763376,1.1344842872010803,0.31560497697847,0.612075555802982,72.0,0.6204891204833984,0.7663350707220453,-0.1763542427228077,0.4177045384232295,144.0,1.110140544672807,1.2794323649767243,-0.1845245900662842,0.0549492241117448,216.0,1.1757944546363972,1.4296591557611624,-0.018567861250575,0.4171704109107184,72.0,1.0094050996833377,1.2804060091696257,-0.6422907475321533,-0.0741312041917677,144.0,1.258989132112927,1.498722181833156,-0.9381051658462592,-0.3029858693138518
7,1,11,2,13,111,0.9670541882514954,0.0617088042199611,0.0825100764632225,216.0,0.9005208178250877,1.0988706083351834,0.3578995311558109,0.6071286759002001,72.0,0.8267170356379615,0.9627672804088504,-0.8567069609717259,0.3388754058624608,144.0,0.937422708918651,1.1609541346157812,0.0246970432857651,0.3999153878581472,216.0,1.353151042462775,1.6307042294261274,-0.325181438537085,0.2266446823470765,72.0,0.9906242075893614,1.3162520360825174,-0.7355324997478796,-0.0036947055140533,144.0,1.5344144598994818,1.7670695273691703,-1.694277623212708,-0.3710992287444569
7,2,11,2,13,111,0.9670541882514954,0.0617088042199611,0.0825100764632225,216.0,0.9005208178250877,1.0988706083351834,0.3578995311558109,0.6071286759002001,72.0,0.8267170356379615,0.9627672804088504,-0.8567069609717259,0.3388754058624608,144.0,0.937422708918651,1.1609541346157812,0.0246970432857651,0.3999153878581472,216.0,1.353151042462775,1.6307042294261274,-0.325181438537085,0.2266446823470765,72.0,0.9906242075893614,1.3162520360825174,-0.7355324997478796,-0.0036947055140533,144.0,1.5344144598994818,1.7670695273691703,-1.694277623212708,-0.3710992287444569
7,3,11,4,15,62,1.049937725067139,0.0755521282553672,0.0757067054510116,216.0,0.9550843912142294,1.1033834868296652,0.3526147021602981,0.6292712145383255,72.0,0.9357542163795896,1.0398711807684604,-1.1660067481920535,0.1594820749319739,144.0,0.9647494786315494,1.1338062630873886,0.0697769021149186,0.2767912418835971,216.0,1.2084350260319534,1.411023913732664,0.0078126233723261,0.3870586116162415,72.0,0.9119529591666328,1.087789221497705,-0.1853432780420727,0.097235991191407,144.0,1.3566760594646137,1.5475270700329848,-1.0663866059256977,-0.4278370934434999
