top_x,top_y,n_sensor,n_demo,n_features,test_ohs_item_mae,test_ohs_item_rmse,test_sis_item_mae,test_sis_item_rmse,test_ohs_total_mae,test_ohs_total_rmse,test_sis_total_mae,test_sis_total_rmse,train_ohs_item_mae,train_ohs_item_rmse,train_sis_item_mae,train_sis_item_rmse,mean_test_item_mae,mean_train_item_mae,overfit_gap,epochs
18,2,25,2,27,1.4714,1.673,0.9464,1.2187,11.741,13.1538,3.1765,3.7951,0.6233,0.7569,0.5896,0.7574,1.2089,0.6064,0.6025,89
23,1,30,2,32,1.4586,1.6778,0.9604,1.2023,10.2048,12.1548,2.9934,4.2475,0.4837,0.6114,0.4706,0.651,1.2095,0.4771,0.7323,184
23,2,30,2,32,1.4586,1.6778,0.9604,1.2023,10.2048,12.1548,2.9934,4.2475,0.4837,0.6114,0.4706,0.651,1.2095,0.4771,0.7323,184
46,3,46,4,50,1.4727,1.6653,0.9499,1.1332,11.482,12.8193,3.4856,3.9191,0.7377,0.902,0.7037,0.8868,1.2113,0.7207,0.4906,68
45,3,46,4,50,1.4727,1.6653,0.9499,1.1332,11.482,12.8193,3.4856,3.9191,0.7377,0.902,0.7037,0.8868,1.2113,0.7207,0.4906,68
28,6,35,7,42,1.4618,1.6642,0.9738,1.194,12.4908,13.4585,3.571,4.1685,0.5615,0.6987,0.5761,0.735,1.2178,0.5688,0.649,93
28,7,35,7,42,1.4618,1.6642,0.9738,1.194,12.4908,13.4585,3.571,4.1685,0.5615,0.6987,0.5761,0.735,1.2178,0.5688,0.649,93
38,4,43,5,48,1.4864,1.7313,0.9516,1.1772,11.2312,12.8704,3.6167,4.084,0.6921,0.8549,0.6663,0.8469,1.219,0.6792,0.5398,68
22,3,29,4,33,1.5842,1.7725,0.8601,1.1196,12.9533,13.8834,2.612,3.5958,0.6013,0.7515,0.5785,0.7484,1.2221,0.5899,0.6322,91
27,5,34,6,40,1.4206,1.6153,1.0243,1.2897,10.2638,11.387,4.1524,4.7606,0.6052,0.7337,0.5684,0.7649,1.2224,0.5868,0.6356,86
31,2,38,2,40,1.4719,1.6703,0.973,1.2272,10.9968,12.3515,3.5383,4.7591,0.5502,0.6835,0.5469,0.7288,1.2225,0.5485,0.6739,100
31,1,38,2,40,1.4719,1.6703,0.973,1.2272,10.9968,12.3515,3.5383,4.7591,0.5502,0.6835,0.5469,0.7288,1.2225,0.5485,0.6739,100
6,3,10,4,14,1.3933,1.6133,1.0568,1.2742,9.8404,10.8637,4.327,5.0624,0.7618,0.9347,0.7059,0.9197,1.2251,0.7338,0.4912,68
23,4,30,5,35,1.5018,1.7328,0.9487,1.1378,11.1252,13.0931,3.7036,4.2133,0.6472,0.804,0.7152,0.9111,1.2253,0.6812,0.544,78
30,7,38,7,45,1.398,1.5986,1.0529,1.2745,11.0943,11.9276,4.2589,4.8325,0.6159,0.7605,0.5985,0.7942,1.2254,0.6072,0.6182,85
30,6,38,7,45,1.398,1.5986,1.0529,1.2745,11.0943,11.9276,4.2589,4.8325,0.6159,0.7605,0.5985,0.7942,1.2254,0.6072,0.6182,85
34,5,40,6,46,1.5641,1.7867,0.8963,1.1091,11.9265,13.0679,3.1117,3.553,0.6833,0.8517,0.7254,0.9049,1.2302,0.7044,0.5258,68
44,3,45,4,49,1.4532,1.6911,1.0083,1.2447,10.9976,12.2914,3.933,4.5061,0.5456,0.6786,0.5254,0.6867,1.2307,0.5355,0.6952,98
46,4,46,5,51,1.4292,1.6582,1.0329,1.2464,10.8231,12.2219,4.4349,4.9258,0.7418,0.9183,0.6689,0.8533,1.231,0.7054,0.5257,69
45,4,46,5,51,1.4292,1.6582,1.0329,1.2464,10.8231,12.2219,4.4349,4.9258,0.7418,0.9183,0.6689,0.8533,1.231,0.7054,0.5257,69
37,5,41,6,47,1.4933,1.6989,0.9713,1.2233,11.0849,12.5501,4.1033,4.7258,0.599,0.7317,0.6105,0.7889,1.2323,0.6047,0.6275,84
35,5,40,6,46,1.5698,1.791,0.8952,1.1079,12.0319,13.1353,3.0937,3.5417,0.6841,0.8511,0.7261,0.9056,1.2325,0.7051,0.5274,68
43,3,45,4,49,1.4692,1.7045,0.9998,1.2367,11.2962,12.6217,3.8559,4.3884,0.5446,0.6769,0.5257,0.6867,1.2345,0.5352,0.6993,98
36,5,41,6,47,1.4991,1.7009,0.972,1.2263,11.2314,12.6688,4.0903,4.7129,0.5975,0.7297,0.6101,0.7869,1.2356,0.6038,0.6318,84
