top_x,top_y,n_sensor,n_demo,n_features,ohs_item_mae,ohs_item_rmse,sis_item_mae,sis_item_rmse,ohs_total_mae,ohs_total_rmse,sis_total_mae,sis_total_rmse,mean_item_mae,epochs
19,0,26,0,26,1.2166,1.4079,0.9562,1.2056,8.4716,9.5147,3.6943,4.793,1.0864,81
20,0,26,0,26,1.2134,1.411,0.9596,1.2091,8.5742,9.5864,3.771,4.8339,1.0865,81
24,0,32,0,32,1.3129,1.4991,0.862,1.0777,9.4106,10.4036,2.4871,3.454,1.0875,78
11,4,17,5,22,1.2185,1.406,0.9572,1.1571,8.1481,9.6071,3.5827,4.1134,1.0879,64
24,6,32,7,39,1.3446,1.5364,0.8371,1.0194,10.1248,11.2375,2.9609,3.7076,1.0909,63
24,7,32,7,39,1.3446,1.5364,0.8371,1.0194,10.1248,11.2375,2.9609,3.7076,1.0909,63
11,5,17,6,23,1.3159,1.5266,0.8673,1.068,9.1054,10.2098,3.0066,3.4039,1.0916,61
34,0,40,0,40,1.242,1.4265,0.9427,1.1678,8.6153,9.6705,3.2862,4.4645,1.0924,97
22,1,29,2,31,1.3454,1.5381,0.8416,1.0692,10.6617,12.2035,2.3687,3.2262,1.0935,103
22,2,29,2,31,1.3454,1.5381,0.8416,1.0692,10.6617,12.2035,2.3687,3.2262,1.0935,103
5,7,8,7,15,1.2958,1.5008,0.8932,1.0896,8.6823,9.8757,3.5669,4.2578,1.0945,61
5,6,8,7,15,1.2958,1.5008,0.8932,1.0896,8.6823,9.8757,3.5669,4.2578,1.0945,61
23,4,30,5,35,1.3192,1.5277,0.8741,1.0571,8.8867,10.1911,2.8874,3.3874,1.0966,62
5,1,8,2,10,1.3263,1.5347,0.8697,1.0531,8.7769,9.9934,3.1168,3.577,1.098,63
5,2,8,2,10,1.3263,1.5347,0.8697,1.0531,8.7769,9.9934,3.1168,3.577,1.098,63
36,0,41,0,41,1.2787,1.4548,0.9183,1.1535,8.3509,9.4671,3.1854,4.3759,1.0985,102
26,0,33,0,33,1.3341,1.5224,0.8721,1.1624,11.0927,11.7938,2.8047,4.1845,1.1031,93
46,5,46,6,52,1.2741,1.4686,0.9337,1.1539,8.9744,10.2712,3.2401,3.8383,1.1039,61
45,5,46,6,52,1.2741,1.4686,0.9337,1.1539,8.9744,10.2712,3.2401,3.8383,1.1039,61
35,0,40,0,40,1.2552,1.4435,0.9558,1.1819,8.7352,9.7534,3.4344,4.6395,1.1055,97
20,3,26,4,30,1.3006,1.5021,0.9113,1.1633,9.0532,10.1821,3.1533,3.8427,1.106,136
46,3,46,4,50,1.3027,1.5034,0.9095,1.0801,8.7386,9.9926,3.3214,3.7567,1.1061,63
45,3,46,4,50,1.3027,1.5034,0.9095,1.0801,8.7386,9.9926,3.3214,3.7567,1.1061,63
28,3,35,4,39,1.3544,1.5473,0.8689,1.056,9.9729,11.1549,2.9757,3.5865,1.1116,63
8,0,12,0,12,1.2578,1.4788,0.974,1.2578,8.3953,9.2915,3.5503,4.9247,1.1159,82
30,4,38,5,43,1.3591,1.538,0.8763,1.1336,8.7787,10.0919,3.5234,4.1888,1.1177,68
12,5,18,6,24,1.2908,1.5108,0.9482,1.1629,8.7501,9.8799,3.7271,4.3358,1.1195,63
32,4,38,5,43,1.3539,1.5323,0.8853,1.1387,8.8279,10.1364,3.575,4.2425,1.1196,68
25,0,33,0,33,1.3812,1.5722,0.86,1.1539,11.741,12.3968,2.7959,4.2059,1.1206,94
20,2,26,2,28,1.3363,1.5461,0.9052,1.149,11.008,12.5065,2.5754,3.1316,1.1207,168
20,1,26,2,28,1.3363,1.5461,0.9052,1.149,11.008,12.5065,2.5754,3.1316,1.1207,168
8,6,12,7,19,1.3299,1.5169,0.9117,1.102,9.7548,11.0029,3.0982,3.6336,1.1208,64
8,7,12,7,19,1.3299,1.5169,0.9117,1.102,9.7548,11.0029,3.0982,3.6336,1.1208,64
31,4,38,5,43,1.3552,1.5356,0.8884,1.1415,8.8032,10.1046,3.6183,4.2696,1.1218,68
19,3,26,4,30,1.3281,1.5278,0.9182,1.1749,9.226,10.371,3.2255,3.9567,1.1232,136
19,1,26,2,28,1.3457,1.5557,0.9051,1.1559,10.8738,12.4905,2.7021,3.2219,1.1254,168
19,2,26,2,28,1.3457,1.5557,0.9051,1.1559,10.8738,12.4905,2.7021,3.2219,1.1254,168
28,5,35,6,41,1.304,1.4745,0.9528,1.1733,10.0433,11.3183,3.8511,4.3047,1.1284,66
27,3,34,4,38,1.3183,1.5332,0.9393,1.1378,8.9704,10.3793,3.5958,4.1659,1.1288,63
11,7,17,7,24,1.2634,1.4912,0.9967,1.2007,8.4913,9.4336,3.8738,4.4055,1.13,62
11,6,17,7,24,1.2634,1.4912,0.9967,1.2007,8.4913,9.4336,3.8738,4.4055,1.13,62
26,2,33,2,35,1.2783,1.4613,0.9859,1.2477,9.3558,10.4404,4.0354,4.8192,1.1321,109
26,1,33,2,35,1.2783,1.4613,0.9859,1.2477,9.3558,10.4404,4.0354,4.8192,1.1321,109
22,0,29,0,29,1.3882,1.5906,0.8785,1.1239,9.8607,11.1248,2.9765,3.8256,1.1334,85
29,4,36,5,41,1.3438,1.5093,0.9244,1.128,9.9548,11.1881,3.2599,3.965,1.1341,65
7,0,11,0,11,1.259,1.4987,1.0094,1.2804,8.8925,9.5894,3.3444,3.9661,1.1342,76
